,Objeto do Contrato,Tipo de Procedimento,Tipo(s) de Contrato,CPV,CPV Tipo ,CPV Designação,CPV Valor,Entidade(s) Adjudicante(s),Entidade(s) Adjudicatária(s),Preço Contratual,Data de Publicação,Data de Celebração do Contrato,Prazo de Execução,Fundamentação,Causa de Extinção do Contrato,Data de Fecho do Contrato,Preço Total Efetivo,Causas das Alterações ao Prazo,Causas das Alterações ao Preço,Estado,N.º registo do Acordo Quadro,Descrição do Acordo Quadro,Procedimento Centralizado,Ligação para Peças do Procedimento,Lista de Fornecedores (cocontratantes),Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE,groupMembers,CPV_VALOR_TRIM,NIF_AJUDICARIO,Nome_tratado
0,"Ajuste direto para a aquisição de serviços de recolha e incineração de resíduos e de materiais cortantes ou perfurantes com fornecimento de contentores, no âmbito do Programa Troca de Seringas 2022",Ajuste Direto Regime Geral,Aquisição de serviços,90524400-0,Principal,"Recolha, transporte e eliminação de resíduos hospitalares",34314.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Ambimed - Gestão Ambiental, Lda. (503593427)","34.314,00 €",29-03-2022,2022-03-29,90 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,34314.0,503593427,"Ambimed - Gestão Ambiental, Lda. (503593427)"
1,"P259-2022-033-CONVITE AO ABRIGO 2020/3, 2021/31, 2021/22 PARA AQUISIÇÃO DE ÁGUA ESTERILIZADA P.P.I. [5 ML], ACIDO CÍTRICO CARTEIRAS E SERINGA 3 PEÇAS U-100 INSULINA AGULHA 29GX1/2"" 0,5CC (0,33X12,7MM)",Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de bens móveis,33100000-1,Principal,Equipamento médico,7900.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","CSP SAÚDE, S.A. (508440246)","7.900,00 €",24-03-2022,2022-03-24,281 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,5239533,"CP 2021/31 - TESTES RÁPIDOS DIVERSOS E MATERIAL DE PREVENÇÃO DA INFEÇÃO POR VIH, HEPATITES VIRAIS E OUTRAS INFEÇÕES SEXUALMENTE TRANSMISSÍVEIS",False,,False,,,7900.0,508440246,"CSP SAÚDE, S.A. (508440246)"
2,"P259-2022-033-CONVITE AO ABRIGO 2020/3, 2021/31, 2021/22 PARA AQUISIÇÃO DE ÁGUA ESTERILIZADA P.P.I. [5 ML], ACIDO CÍTRICO CARTEIRAS E SERINGA 3 PEÇAS U-100 INSULINA AGULHA 29GX1/2"" 0,5CC (0,33X12,7MM)",Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de bens móveis,33000000-0,Principal,"Equipamento médico, medicamentos e produtos para cuidados pessoais",31000.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","INOVEMED - PRODUTOS FARMACÊUTICOS, LDA (513038876)","31.000,00 €",24-03-2022,2022-03-24,281 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,5239533,"CP 2021/31 - TESTES RÁPIDOS DIVERSOS E MATERIAL DE PREVENÇÃO DA INFEÇÃO POR VIH, HEPATITES VIRAIS E OUTRAS INFEÇÕES SEXUALMENTE TRANSMISSÍVEIS",False,,False,,,31000.0,513038876,"INOVEMED - PRODUTOS FARMACÊUTICOS, LDA (513038876)"
3,"P259-2022-032-AQUISIÇÃO DE PRESERVATIVO MASCULINO, EM LÁTEX, TAMANHO PADRÃO NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS 2022  ",Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de bens móveis,33100000-1,Principal,Equipamento médico,44280.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","EZEQUIEL PANAO JORGE, LDA (501412727)","44.280,00 €",21-03-2022,2022-03-21,365 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,5239533,"CP 2021/31 - TESTES RÁPIDOS DIVERSOS E MATERIAL DE PREVENÇÃO DA INFEÇÃO POR VIH, HEPATITES VIRAIS E OUTRAS INFEÇÕES SEXUALMENTE TRANSMISSÍVEIS",False,,False,,,44280.0,501412727,"EZEQUIEL PANAO JORGE, LDA (501412727)"
4,Aquisição de licenciamento anual “OPENDATASOFT” do Portal da Transparência,Ajuste Direto Regime Geral,Aquisição de bens móveis,48000000-8,Principal,Pacotes de software e sistemas de informação,45000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","OpenDataSoft, SAS (FR42538168329)","45.000,00 €",21-03-2022,2022-03-10,291 dias,"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,45000.0,FR42538168329,"OpenDataSoft, SAS (FR42538168329)"
5,Aquisição de Licença para o Sistema Integração de Formação e Gestão de Contratos,Ajuste Direto Regime Geral,Aquisição de bens móveis,48218000-9,Principal,Pacote de software para gestão de licenças,30000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","OutSystems - Software em Rede, S.A. (504995634)","30.000,00 €",21-03-2022,2022-03-10,291 dias,"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,30000.0,504995634,"OutSystems - Software em Rede, S.A. (504995634)"
6,Serviços de apoio de gestão e custódia documental,Ajuste Direto Regime Geral,Aquisição de serviços,79995100-6,Principal,Serviços de arquivo,215000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Safebox - Gestão e Custódia de Arquivos, SA (506360717)","215.000,00 €",21-03-2022,2022-03-10,291 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,215000.0,506360717,"Safebox - Gestão e Custódia de Arquivos, SA (506360717)"
7,Serviços especializados para a área de Contratação Pública da Direção de Administração Geral - Lote 2 - Serviços para a elaboração de procedimentos aquisitivos,Concurso público,Aquisição de serviços,79400000-8,Principal,Serviços de consultoria em matéria comercial e de gestão e serviços conexos,76968.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Searchwind-Consultores de Gestão Lda (509042635),"76.968,00 €",21-03-2022,2022-03-08,1027 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,76968.0,509042635,Searchwind-Consultores de Gestão Lda (509042635)
8,Serviços para patrocínio judicial de processos em curso,Ajuste Direto Regime Geral,Aquisição de serviços,79110000-8,Principal,Serviços de assessoria e representação jurídicas,43200.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Miranda & Associados - Sociedade de Advogados, SP, RL (505701839)","43.200,00 €",21-03-2022,2022-03-08,296 dias,"Artigo 27.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,43200.0,505701839,"Miranda & Associados - Sociedade de Advogados, SP, RL (505701839)"
9,"AJUSTE DIRETO PARA A AQUISIÇÃO DE SERVIÇOS DE ARMAZENAMENTO, PRODUÇÃO E DISTRIBUIÇÃO DE KITS NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS 2022.",Ajuste Direto Regime Geral,Aquisição de serviços,79921000-6,Principal,Serviços de embalagem,48747.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Efervescente Design e Comunicação, Lda. (506738400)","48.747,00 €",21-03-2022,2022-03-18,92 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,48747.0,506738400,"Efervescente Design e Comunicação, Lda. (506738400)"
10,Serviços especializados para a área de Contratação Pública da Direção de Administração Geral  - Lote 1 - serviços para acompanhamento e monitorização de procedimentos aquisitivos.,Concurso público,Aquisição de serviços,79400000-8,Principal,Serviços de consultoria em matéria comercial e de gestão e serviços conexos,84600.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","MULTITRAB – Serviços, Lda. (514756969)","84.600,00 €",16-03-2022,2022-03-11,1022 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,84600.0,514756969,"MULTITRAB – Serviços, Lda. (514756969)"
11,Serviços para patrocínio judicial de processos em curso,Ajuste Direto Regime Geral,Aquisição de serviços,79110000-8,Principal,Serviços de assessoria e representação jurídicas,45000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Sérvulo & Associados - Sociedade de Advogados, S.P., R.L. (504344285)","45.000,00 €",16-03-2022,2022-03-10,291 dias,"Artigo 27.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,45000.0,504344285,"Sérvulo & Associados - Sociedade de Advogados, S.P., R.L. (504344285)"
12,Concurso Público Simplificado sem Publicidade Internacional para aquisição de firewalls (Lei 30/2021) (PRR),Concurso público,Aquisição de bens móveis,30200000-1,Principal,Equipamento e material informático,98870.53 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Milestone Ii Technology , S.a (514695943)","98.870,53 €",16-03-2022,2022-03-10,122 dias,"Artigo 2.º, alínea a), da Lei n.º 30/2021, de 21.05",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,98870.53,514695943,"Milestone Ii Technology , S.a (514695943)"
13,Aquisição de Switchs (PRR),Concurso público,Aquisição de bens móveis,30200000-1,Principal,Equipamento e material informático,1482355.66 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","MEO - SERVIÇOS DE COMUNICAÇÕES E MULTIMÉDIA, SA (504615947)","1.482.355,66 €",16-03-2022,2022-03-10,122 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,1482355.66,504615947,"MEO - SERVIÇOS DE COMUNICAÇÕES E MULTIMÉDIA, SA (504615947)"
14,"Serviços de comunicações fixas e móveis para a SPMS, E.P.E.",Concurso público,Aquisição de serviços,64200000-8,Principal,Serviços de telecomunicações,308227.68 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","NOS- Comunicações, S.A (502604751)","308.227,68 €",03-03-2022,2021-05-04,1095 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,308227.68,502604751,"NOS- Comunicações, S.A (502604751)"
15,Serviços para patrocínio judicial de processos em curso,Ajuste Direto Regime Geral,Aquisição de serviços,79110000-8,Principal,Serviços de assessoria e representação jurídicas,6000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","BAS - Sociedade  de  Advogados,  SP,  RL (509100007)","6.000,00 €",03-03-2022,2022-02-23,309 dias,"Artigo 27.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,6000.0,509100007,"BAS - Sociedade  de  Advogados,  SP,  RL (509100007)"
